kingdom,phylum,classname,ordername,family
PLANTAE,BRYOPHYTA,BRYOPSIDA,HYPNALES,Myriniaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,Myristicaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,HAMAMELIDALES,Myrothamnaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,PRIMULALES,Myrsinaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,Myrtaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,HYDROCHARITALES,Najadaceae
PLANTAE,BRYOPHYTA,BRYOPSIDA,HYPNALES,Neckeraceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,NYMPHAEALES,Nelumbonaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,NEPENTHALES,Nepenthaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES,Nesogenaceae
