"internal_taxon_id","PlantGrowthForms.PlantGrowthFormsSubfield.PlantGrowthFormsLookup","PlantGrowthForms.PlantGrowthFormsSubfield.PlantGrowthFormsName"
"766791-1","",""
"140342-2","",""
"854920-1","",""
"854710-1","",""
"443432-1","",""
"270918-2","",""
"319128-2","",""
"319348-2","",""
"397065-1","",""
"836997-1","",""
"323180-1","",""
"131108-2","",""
"609775-1","",""
"561095-1","",""
"312160-1","",""
"1103484-2","",""
"856750-1","",""
"1182077-2","",""
"60458018-2","",""
"70559-2","",""
"304222-1","",""
"79450-2","",""
"673038-1","",""
"30121490-2","",""
"805524-1","",""
"328550-2","",""
"181506-2","",""
"675096-1","",""
"196799-2","",""
"685785-1","",""
"457230-1","",""
"459074-1","",""
"157913-1","",""
"541314-1","",""
"849121-1","",""
"767016-1","",""
"242811-2","",""
"120998-1","",""
"857732-1","",""
"769659-1","",""
"77103945-1","",""
"337150-1","",""
"13112-2","",""
"319092-2","",""
"118574-3","",""
"297578-1","",""
